"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: impl","Param: payloadType","Param: seed","Param: size","Param: testType","Param: threads"
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,6716.938409,149.819509,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,update,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,581.585365,11.448246,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,update,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,147.047159,9.368564,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,update,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,84.412999,7.939421,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,update,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,10.777911,5.069450,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,update,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,41210.839814,788.084094,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,7556.962065,468.882027,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,849.397787,42.612267,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,218.053441,29.573229,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,93.793618,21.347466,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",16,40,11.359557,4.014081,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,even,16
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,28541.871018,318.368129,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,4797.215988,166.130520,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,591.788164,48.800044,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,184.311640,9.971196,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,97.392822,4.017845,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,12.056742,4.804235,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,even,8
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,20835.719634,383.252959,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16384,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,2868.471823,73.778063,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,131072,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,394.843108,28.825465,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,1048576,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,115.416845,2.798828,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,4194304,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,53.174012,5.647142,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,8388608,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,9.860764,4.026081,"ops/s",PARALLEL_ADAPTIVE_LIST,STRING_DICTIONARY,42,16777216,even,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,18914.125491,205.793663,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,2370.163676,68.883327,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,131072,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,221.862307,4.767850,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,1048576,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,64.882442,1.319788,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,4194304,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,32.629570,0.884043,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,8388608,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",4,40,17.304319,0.549169,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16777216,update,4
"se.su.dsv.parallel_adaptive.ParallelAdaptiveBench.operationsRunner","thrpt",8,40,26386.259757,566.976954,"ops/s",PARALLEL_ADAPTIVE_MAP,STRING_DICTIONARY,42,16384,iterate,8
